GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
475,5241NIG,69498,19/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),NYCN: National Youth Council of Nigeria,6,,,0,60,Nigeria,Adamawa,Yola North,,Yola,9.20000,12.48333,1,Leadership (Abuja),"Youths in Anambra State, under the aegis of National Youth Council of Nigeria (NYCN), marched out enmasse on two non-consecutive days in protest, calling on the Independent National Electoral Commission (INEC) to cancel last Saturdays (16/11) gubernatorial elections in the state. On the fist day of protest police in the area dispersed the group with tear gas.",0
475,5242NIG,69499,19/11/2013,2013,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Nigeria,Kano,Ungogo,,Ungogo,12.09171,8.49531,1,Agence France Presse,"Nigerian troops kill four suspected Boko Haram insurgents in an early morning shootout in Gayawa village of Ungogo Local Government Area, as well as seizing assault rifles and ammunition.",4
475,5243NIG,69500,19/11/2013,2013,1,Battle-No change of territory,Police Forces of Nigeria (1999-2015),,1,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,13,Nigeria,Gombe,Gombe,,Gombe,10.28969,11.16729,2,Associated Press,"Suspected Boko Haram fighters kill a police officer in an attack on a station in Kwami LGA, 40km from Gombe.",1
475,5244NIG,69501,19/11/2013,2013,1,Violence against civilians,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Borno,Konduga,,Konduga,11.65583,13.42133,2,Leadership (Abuja),Suspected members of Boko Haram attacked and killed eight rice farmers and destroyed property over a series of days in Konduga LGA of Borno.,3
475,5245NIG,69502,19/11/2013,2013,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Nigeria,Bayelsa,Brass,,Akassa,4.32336,6.06642,1,Nigeria Punch,A group of seven gunmen kidnap the father of Bayelsa State Commissioner for Tourism in the early morning hours for unarticulated reasons.,0
475,5246NIG,69503,19/11/2013,2013,1,Violence against civilians,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Nigeria,Osun,Ilesha East,,Ilesa,7.61667,4.73333,1,Leadership (Abuja),A notable industrialist is kidnapped from his car by unidentified gunmen. The driver of the car was shot and killed in the raid. The reason for the abduction is not known.,1
475,5247NIG,69504,20/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Rivers,Port Harcourt,,Port Harcourt,4.77742,7.01340,1,The Sun (Nigeria),"Anti-Rivers State Governor Amaechi protesters, under the aegis of Concerned Citizens of Wakirike Ijaws in Port Harcourt, barricaded the Azikiwe Road, carrying placards and chanting anti-Amaechi songs in reaction to a move by the state government to institute a public holiday to avoid a court indictment that would negatively affect his administration.",0
475,5248NIG,69505,20/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,Police Forces of Nigeria (1999-2015),,1,16,Nigeria,Anambra,Awka South,,Awka,6.21010,7.07412,1,Vanguard (Lagos),A womens group protests in Awka for the second time in several days against the results of a recent election in Anambra State. The group was dispersed by police.,0
475,5249NIG,69506,20/11/2013,2013,2,Battle-No change of territory,Police Forces of Nigeria (1999-2015),,1,Unidentified Armed Group (Nigeria),,3,13,Nigeria,Enugu,Uzo-Uwani,,Umulokpa,6.50620,7.10020,2,Leadership (Abuja),Twelve houses and a police post are destroyed in a clash between local residents and a group loyal to a local government councillor. The reason for the clash is not known. Causalities not known.,0
475,5250NIG,69507,20/11/2013,2013,1,Violence against civilians,Boko Haram - Jama’atu Ahli is-Sunnah lid-Dawatai wal-Jihad,,3,Civilians (Nigeria),,7,37,Nigeria,Borno,Konduga,,Konduga,11.65583,13.42133,2,Leadership (Abuja),Suspected members of Boko Haram attacked and killed eight rice farmers and destroyed property over a series of days in Konduga LGA of Borno.,2
475,5251NIG,69508,21/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,,,0,60,Nigeria,Kogi,Lokoja,,Lokoja,7.80236,6.74301,1,Daily Trust (Abuja),"A group of teachers protest non payment of October salaries in Lokoja, Kogi State.",0
475,5252NIG,69509,21/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),,6,Police Forces of Nigeria (1999-2015),,1,16,Nigeria,Federal Capital Territory,Abuja Municipality,,Abuja,9.08333,7.53333,1,Premium Times (Abuja),Police forces disperse SIN: Stop Impunity Nigeria and CWP: Citizens Wealth Platform protesters in Abuja. The groups were calling for an wend to mismanagement in public service.,0
475,5253NIG,69510,21/11/2013,2013,1,Riots/Protests,Protesters (Nigeria),NYCN: National Youth Council of Nigeria,6,Police Forces of Nigeria (1999-2015),,1,16,Nigeria,Adamawa,Yola North,,Yola,9.20000,12.48333,1,Leadership (Abuja),"Youths in Anambra State, under the aegis of National Youth Council of Nigeria (NYCN), marched out enmasse on two non-consecutive days in protest, calling on the Independent National Electoral Commission (INEC) to cancel last Saturdays (16/11) gubernatorial elections in the state. On the fist day of protest police in the area dispersed the group with tear gas.",0
475,5254NIG,69511,21/11/2013,2013,1,Battle-No change of territory,Police Forces of Nigeria (1999-2015),,1,Unidentified Armed Group (Nigeria),,3,13,Nigeria,Bauchi,Bauchi,,Bauchi,10.31344,9.84327,1,Vanguard (Lagos),Four policemen are killed by unidentified gunmen in an ambush in Bauchi.,4
